name,url,img,loc,Loại hình di tích,Loại hình xếp hạng,Xếp hạng,Niên đại tuyệt đối,Niên đại chủ đạo,Tọa độ,Đối tượng thờ,Dấu vết vật chất sớm nhất,Quyết định xếp hạng,Tên khác,Niên đại khởi dựng
Đền Thõng (nằm trong cụm Tây Thiên),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5725,http://ditich.vn\upload\images\ditich\De-T0196.jpg,"Vĩnh Phúc, Tam Đảo, Đại Đình",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,,21°27’27’’B; 105°34’48’’Đ,Quốc Mẫu Tây Thiên,,,,
Đền Mẫu Hóa,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5723,http://ditich.vn\upload\images\ditich\De-M0022.jpg,"Vĩnh Phúc, Tam Đảo, Đại Đình",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đền đức Thánh Trần (2011),Đền Mẫu,"21°27'48""B; 105°34'09""Đ","Thờ Mẫu, Đức Thánh Trần, Phật",Dấu vết sớm nhất trên kiến trúc,,,
Đền Mẫu Sinh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5722,http://ditich.vn\upload\images\ditich\De-M0021.jpg,"Vĩnh Phúc, Tam Đảo, Đại Đình",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,"Ban thờ Vương phu Vương mẫu (Nhâm Thìn 2012); Đại bái đền chính (Mậu dần niên, tam nguyệt, thập cửu nhật, lương thời khởi tạo (1998)",,"21°27'48""B; 105°34'09""Đ","Mẫu, thân sinh ra Mẫu, Phật",,,,
Đền Đức Thánh Trần,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5721,http://ditich.vn\upload\images\ditich\De-D0089.jpg,"Vĩnh Phúc, Tam Đảo, Tam Đảo",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,,21°27’11’’B; 105°38’09’’Đ,Trần Hưng Đạo,,,,
Đền Bồ Lý,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5720,http://ditich.vn\upload\images\ditich\De-B0030.jpg,"Vĩnh Phúc, Tam Đảo, Bồ Lý",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Nghi môn,Gạch xây,21°21’30’’B; 105°37’11’’Đ,7 anh em họ Lỗ,Dấu vết sớm nhất trên kiến trúc,,,
Đền Trình (Tây Thiên),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5719,http://ditich.vn\upload\images\ditich\De-T0153.jpg,"Vĩnh Phúc, Tam Đảo, Tam Quan",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Gian thờ địa mẫu,,21°26’24’’B; 105°34’24’’Đ,"Quốc Mẫu Lăng Thị Tiêu, Phật; Tam phủ Công Đồng; ông hoàng Mười",,,,
Đền Chân Suối,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5718,http://ditich.vn\upload\images\ditich\De-C0041.jpg,"Vĩnh Phúc, Tam Đảo, Hồ Sơn",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,,21°24’59’’B; 105°37’13’’Đ,Quốc Mẫu Lăng Thị Tiêu,,,,
Chùa Cam Lâm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5717,http://ditich.vn\upload\images\ditich\Ch-C0109.jpg,"Vĩnh Phúc, Tam Đảo, Minh Quang",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền đường,Tam bảo,"21°21'48.0""B 105°38'40.0""Đ",Phật,Dấu vết sớm nhất trên kiến trúc,,,
Chùa Chanh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6188,http://ditich.vn\upload\images\ditich\Ch-C0301.jpg,"Vĩnh Phúc, Tam Đảo, Tam Quan",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Thượng điện,,21°25’20’’B; 105°34’19’’Đ,Phật,,,,
Chùa Lưu Quang,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5716,http://ditich.vn/upload/files/Ch-L0132.JPG,"Vĩnh Phúc, Tam Đảo, Minh Quang",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tảm Bảo,Tam bảo,21°22’39’’B; 105°38’22’’Đ,Phật,Dấu vết sớm nhất trên kiến trúc,,,
Đình Bồ Lý,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6187,http://ditich.vn\upload\images\ditich\Di-B0111.jpg,"Vĩnh Phúc, Tam Đảo, Bồ Lý",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,,21°28’32’’B; 105°32’6’’Đ,Thất vị đại vị họ Lỗ,,,,
Đình Cửu Yên,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6186,http://ditich.vn\upload\images\ditich\Di-C0153.jpg,"Vĩnh Phúc, Tam Đảo, Hợp Châu",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đền chính,,21°23’37’’B; 105°36’34’’Đ,,,,,
Đình Làng Mạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5715,http://ditich.vn\upload\images\ditich\Di-M0056.jpg,"Vĩnh Phúc, Tam Đảo, Tam Quan",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,,21°25’22’’B; 105°35’41’’Đ,Vọng Quốc mẫu Tây Thiên,,,,
Đình Xuân Mẫu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5714,http://ditich.vn\upload\images\ditich\Di-X0034.jpg,"Vĩnh Phúc, Tam Đảo, Tam Quan",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đại đình,21°24’57’’B; 105°35’3’’Đ,Quốc Mẫu Lăng Thị Tiêu,Dấu vết sớm nhất trên kiến trúc,,,
Đình Làng Chanh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5713,http://ditich.vn\upload\images\ditich\Di-C0096.jpg,"Vĩnh Phúc, Tam Đảo, Tam Quan",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,"Đại bái, Hậu cung",21°25’20’’B; 105°34’20’’Đ,Quốc Mẫu Tây Thiên (tên Hiệu Lăng Thị Tiêu),Dấu vết sớm nhất trên kiến trúc,,,
Đình Lưu Quang,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5712,http://ditich.vn\upload\images\ditich\Di-L0081.jpg,"Vĩnh Phúc, Tam Đảo, Minh Quang",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,TK XXI,21°22’24’’B; 105°38’20’’Đ,"Cao Sơn, Quý Minh",Dấu vết sớm nhất trên kiến trúc,,,
Đình Cam Lâm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5711,http://ditich.vn\upload\images\ditich\Di-C0097.jpg,"Vĩnh Phúc, Tam Đảo, Minh Quang",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,,21°21’48’’B; 105°38’40’’Đ,"Cao Sơn, Quý Minh, Trung Sơn",,,,
Cầu Nôm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6185,http://ditich.vn\upload\images\ditich\Ca-N0002.jpg,"tỉnh Hưng Yên, huyện Văn Lâm, xã Lạc Đạo",Cầu,,Di tích cấp Quốc gia,,Thế kỷ 19,"20°59'07.4""N 106°00'47.8""E",,Thế kỷ 19,BVHTT,,
Đình Sầm Khúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6184,http://ditich.vn\upload\images\ditich\Di-S0036.jpg,"tỉnh Hưng Yên, huyện Văn Lâm, xã Việt Hưng",Đình,,Di tích cấp Quốc gia,Đại bái,Đại bái,"20°59'14.2""N 106°05'34.8""E",Phổ Cứu Đại vương,Chuông – Minh Mệnh 5 (1824),Bộ Văn hóa Thể thao,,
Chùa Như Lâm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6183,http://ditich.vn\upload\images\ditich\Ch-N0165.jpg,"tỉnh Hưng Yên, huyện Văn Giang, xã Long Hưng",Chùa,,,,,"20°56'39.9""N 105°57'24.4""E",Phật,01 Tượng Pháp vân – Đầu thế kỷ 17 + 02 Bia đá,,,
Đình Đông Khúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6182,http://ditich.vn\upload\images\ditich\Di-D0301.jpg,"tỉnh Hưng Yên, huyện Văn Giang, xã Vĩnh Khúc",Đình,,,Đại đình,Đại đình,"20°56'20.4""N 106°00'10.3""E","Triệu Việt Vương, An Vực hiển khánh chi thần",Giữa thế kỷ 20,,,
Chùa Vân Thị,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6179,http://ditich.vn\upload\images\ditich\Ch-V0119.jpg,"Ninh Bình, Gia Viễn, Gia Tân",Chùa,,,,Nửa sau 20,,,01 chuông,,,
Chùa Lỗi Sơn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6178,http://ditich.vn\upload\images\ditich\Ch-L0136.jpg,"Ninh Bình, Gia Viễn, Gia Phong",Chùa,,,Tiền đường,"Tiền sảnh, tiền đường - Đầu Tk20",,,01 bia,,,
Chùa Hưng Quốc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6177,http://ditich.vn\upload\images\ditich\Ch-H0164.jpg,"Ninh Bình, Gia Viễn, Gia Hưng",Chùa,,,Tiền đường,Tiền đường,,,01 tượng Tam Thế – TK17,,,
Chùa Hoàng Quyển,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6176,http://ditich.vn\upload\images\ditich\Ch-H0163.jpg,"Ninh Bình, Gia Viễn, Gia Hoà",Chùa,,,Tiền đường,Nửa sau 20,,,,,,
Chùa Giá Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6175,http://ditich.vn\upload\images\ditich\Ch-G0029.jpg,"Ninh Bình, Gia Viễn, Gia Hoà",Chùa,,Di tích cấp Tỉnh,Tiền đường,Tiền đường,,,,,,
Chùa Xuân Đài,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6174,http://ditich.vn\upload\images\ditich\Ch-X0034.jpg,"Ninh Bình, Gia Viễn, Gia Lập",Chùa,,,Tiền đường,Tiền đường,,,,,,
Chùa Sào Long,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6173,http://ditich.vn\upload\images\ditich\Ch-S0032.jpg,"Ninh Bình, Gia Viễn, Gia Lập",Chùa,,,,Nửa sau 20,,,01 bia - PCNT cuối Tk16 đầu Tk17,,,
Đình Bình Khang,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6172,http://ditich.vn\upload\images\ditich\Di-B0110.jpg,"Ninh Bình, Gia Viễn, Liên Sơn",Đình,,Di tích cấp Tỉnh,,,,"Xía Lê Đại Vương, ( thành hoàng), Quý Minh Đại Vương, Phối thờ","01bài vị – Tk19, 01 bát bửu – Cuối Tk19 đầu Tk20, 26 sắc phong",2008 – Cấp tỉnh – 2260/QĐUB,,
Đình Vũ Đại,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6171,http://ditich.vn\upload\images\ditich\Di-V0138.jpg,"Ninh Bình, Gia Viễn, Gia Xuân",Đình,,,đại đình,đại đình,,,,,,
Đình Đông Xuân,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6170,http://ditich.vn\upload\images\ditich\Di-D0307.jpg,"Ninh Bình, Gia Viễn, Gia Xuân",Đình,,Di tích cấp Tỉnh,Đại đình,Đại đình,,"Phùng Hưng, Bản Thổ Chi Thần, Giám Sát Đại Tướng Quân","01 nhang án – Tk19, 02 bia",2006 – Cấp tỉnh,,
Đình Bồ Đình,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6169,http://ditich.vn\upload\images\ditich\Di-B0109.jpg,"Ninh Bình, Gia Viễn, Gia Vượng",Đình,,,Tiền tế,Tiền tế,,Dương Cảnh Thành Hoàng,04 sắc phong,,,
Đình Tập Ninh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6168,http://ditich.vn\upload\images\ditich\Di-T0397.jpg,"Ninh Bình, Gia Viễn, Gia Vân",Đình,,Di tích cấp Tỉnh,Tiền tế,Tiền tế,,"Đức Thánh Ngọ, Hưng Đạo Vương",,,,
Đình Mai Trung,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6167,http://ditich.vn\upload\images\ditich\Di-M0089.jpg,"Ninh Bình, Gia Viễn, Gia Vân",Đình,,,,,,Ngọ Sơn Đại Vương,05 sắc phong,,,
Đình Trung,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6166,http://ditich.vn\upload\images\ditich\Di-T0396.jpg,"Ninh Bình, Gia Viễn, Gia Sinh",Đình,,,,"Tiền tế - Đầu Tk20, Hậu cung – Cuối Tk20",,"Nguyễn Minh Không, Quý Minh",01 bia,,,
Đình Đức Hậu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6165,http://ditich.vn\upload\images\ditich\Di-D0306.jpg,"Ninh Bình, Gia Viễn, , Gia Trung",Đình,,,Đại bái,đầu bái,,"Đức thánh Quý, Bản Cảnh Thành Hoàng, Công chúa Nguyệt Anh, Ngọc Hoa",11 sắc phong,,,
Đình Đông Khê,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6164,http://ditich.vn\upload\images\ditich\Di-D0305.jpg,"Ninh Bình, Gia Viễn, Gia Trung",Đình,,Di tích cấp Tỉnh,Tiền tế,Tiền tế,,"Phương Vy phu nhân, Trương Đức Vũ, Bân Cảnh Thành Hoàng","01 nhang án – Tk19, 01 chuông – Thành Thái 13 (1901), 02 bài vị – Tk18 , 01 ngai – Cuối Tk18, 01 Ngai – Tk19",,,
Đình Vũ Nhì,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6163,http://ditich.vn\upload\images\ditich\Di-V0137.jpg,"Ninh Bình, Gia Viễn, Gia Trấn",Đình,,,Đại bái,Hậu cung,,Triệu Việt Vương,08 sắc phong,,,
đình Cung Quế,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6162,http://ditich.vn\upload\images\ditich\Di-C0156.jpg,"Ninh Bình, Gia Viễn, Gia Trấn",Đình,,,Đại bái,đại bái,,Triệu Việt Vương,,,,
Đình Trinh Phú,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6161,http://ditich.vn\upload\images\ditich\Di-T0395.jpg,"Ninh Bình, Gia Viễn, Gia Thịnh",Đình,,,Tiền bái,Tiền bái,,Thành hoàng làng,,,,
Đình Liên Huy,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6160,http://ditich.vn\upload\images\ditich\Di-L0131.jpg,"Ninh Bình, Gia Viễn, Gia Thịnh",Đình,,Di tích cấp Quốc gia,Tiền tế,Tiền tế,,Bản thổ thành hoàng làng Nhạc Uyển Thạch Tình Ngọc Nương công chúa,09 sắc phong,,,
Đình Địch Lộng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6159,http://ditich.vn\upload\images\ditich\Di-D0304.jpg,"Ninh Bình, Gia Viễn, Gia Thanh",Đình,,,Tiền đường,Tiền đường,,,01 bát hương gốm – Tk19,,,
Đình Cổ Hạc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6158,http://ditich.vn\upload\images\ditich\Di-C0155.jpg,"Ninh Bình, Gia Viễn, Gia Thanh",Đình,,,Đại bái,Đại bái,,Phùng Hưng – Bố cái đại vương nhất vị,"01 ngai thờ cuối Tk18 đầu Tk19, 01 bát hương gốm – Tk19, 01 sắc phong",,,
Đình Vân Thị,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6157,http://ditich.vn\upload\images\ditich\Di-V0136.jpg,"Ninh Bình, Gia Viễn, Gia Tân",Đình,,,Tiền tế,Tiền tế,,Tô Hiến Thành,,,,
Đình Trùng Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6156,http://ditich.vn\upload\images\ditich\Di-T0394.jpg,"Ninh Bình, Gia Viễn, Gia Tân",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại đình,,Đông Hải Đại Vương – Nguyễn Thục,"01 hương án – Tk17 (đã hỏng), 01 bài vị – Tk18 , ngai thờ TK 17, 04 sắc phong",,,
Đình Trùng Hạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6155,http://ditich.vn\upload\images\ditich\Di-T0393.jpg,"Ninh Bình, Gia Viễn, Gia Tân",Đình,,,,Đại bái,,"Triệu Việt Vương, Tô Hiến Thành",,,,
Đình Thần Thiệu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6154,http://ditich.vn\upload\images\ditich\Di-T0392.jpg,"Ninh Bình, Gia Viễn, Gia Tân",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại bái,,Thành hoàng làng,01 bia,BVHTT&DL,,
Đình Núi Thiệu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6153,http://ditich.vn\upload\images\ditich\Di-N0187.jpg,"Ninh Bình, Gia Viễn, Gia Tân",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đậi bái,,Tô Hiến Thành,,29122005 – Cấp tỉnh – 2953QĐUB,,
Đình Văn Bồng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6152,http://ditich.vn\upload\images\ditich\Di-V0135.jpg,"Ninh Bình, Gia Viễn, Gia Phương",Đình,,,,,,Đinh Tiên Hoàng,,,,
Đình thôn Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6151,http://ditich.vn\upload\images\ditich\Di-T0391.jpg,"Ninh Bình, Gia Viễn, Gia Phú",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Năm 2003 xây mới lại toàn bộ,,,Đinh Tiên Hoàng,02 sắc phong,2005 – Cấp tỉnh,,
Đình Ngô Đồng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6150,http://ditich.vn\upload\images\ditich\Di-N0186.jpg,"Ninh Bình, Gia Viễn, Gia Phú",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền tế,Tiền tế,,Đức Thánh Nguyễn ( Thánh Điền Điềm Giang),"02 phỗng – cuối Tk 19, 04 sắc phong",271107 – Cấp tỉnh – 2712QĐUB,,
Đình Kính Chúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6149,http://ditich.vn\upload\images\ditich\Di-K0072.jpg,"Ninh Bình, Gia Viễn, Gia Phú",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Đại bái,,Đinh Bộ Lĩnh và Thân Mẫu,"01 sắc sao – Cảnh Hưng 28 (1767), 01 bia – Thành Thái10 (1898)",,,
Đình Gia Phong,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6148,http://ditich.vn\upload\images\ditich\Di-G0032.jpg,"Ninh Bình, Gia Viễn, Gia Phong",Đình,,,Đại bái,Đại bái,,,"02 bài vị – Cuối Tk18, 01 nghê thờ – Tk19, 21 đạo sắc (không xem được)",,,
Đình Hạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6147,http://ditich.vn\upload\images\ditich\Di-H0161.jpg,"Ninh Bình, Gia Viễn, Gia Hưng",Đình,,,Tiền bái,Tiền bái,,,,,,
Đình Chai,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6146,http://ditich.vn\upload\images\ditich\Di-C0154.jpg,"Ninh Bình, Gia Viễn, Gia Hưng",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Ống muống,đại bái,,"Đức Thánh Nguyễn, Đinh Tiên Hoàng, Lý Thái Tổ, Dương Vân Nga","02 bài vị – cuối TK17, 02 ngai – cuối TK18, đầu TK19, 01 bát hương gỗ – TK19, 01 bát hương gốm – cuối TK19",16012004- cấp tỉnh – 179QĐUB,,
Đình Giá Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6145,http://ditich.vn\upload\images\ditich\Di-G0031.jpg,"Ninh Bình, Gia Viễn, Gia Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,Đại đình,,"Ngọ Sơn Đại Vương, thân mẫu mẹ Tản Viên Sơn, Tam vị Tản Viên Sơn, Nguyễn Minh Không",,1612004 – cấp tỉnh – 163QĐUB,,
Đình Sào Long,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6144,http://ditich.vn\upload\images\ditich\Di-S0037.jpg,"Ninh Bình, Gia Viễn, Gia Lập",Đình,,,Tiền tế,Tiền tế,,"Triệu Quang Phục, Đông Hải Đại Lượng, Uy Linh Việt Nam Dũng Thú (vua Tàu)",,,,
Đình Nam Khoái,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6143,http://ditich.vn\upload\images\ditich\Di-N0185.jpg,"Ninh Bình, Gia Viễn, Gia Lạc",Đình,,,Tiền tế,Tiền tế,,7 vị thành hoàng,,,,
Đình Đông,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6142,http://ditich.vn\upload\images\ditich\Di-D0303.jpg,"Ninh Bình, Gia Viễn, Gia Lạc",Đình,,,Tiền tế,Tiền tế,,7 vị thành hoàng,Sấu đá thành bậc – Cuối TK17; 01 bia,,,
Đình Đoài,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6141,http://ditich.vn\upload\images\ditich\Di-D0302.jpg,"Ninh Bình, Gia Viễn, Gia Lạc",Đình,,,đại bái,Đầu thế kỷ 20,,Thờ Phật,,,,
Chùa Mỹ Xá,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6140,http://ditich.vn\upload\images\ditich\Ch-M0075.jpg,"Hưng Yên, Yên Mỹ, Việt Cường",Chùa,,,Tiền đường,Tiền đường,"20°52'57.3""N 106°00'12.4""E",Phật,02 Bia đá,,,
Đình Xuân Tràng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6139,http://ditich.vn\upload\images\ditich\Di-X0047.jpg,"Hưng Yên, Yên Mỹ, Đồng Than",Đình,,Di tích cấp Quốc gia,Đại đình,Đại đình,"20°54'52.0""N 106°00'21.6""E",Nguyễn Công Hiệp,,1993,,
Chùa Đoan Lễ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6137,http://ditich.vn\upload\images\ditich\Ch-D0266.jpg,"Hải Phòng,Thủy Nguyên, Tam Hưng",Chùa,,,Các công trình mới xây dựng,,"20°56'15.7""N 106°45'10.3""E",Phật,06 Bia,,Thọ Ninh tự,
Chùa Mai Động,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6138,http://ditich.vn/upload/files/Anh%20hien%20trang%20nam%202009%20(1).JPG,"Hải Phòng,Thủy Nguyên, Liên Khê",Chùa,,,,,"20°59'32.7""N 106°39'05.3""E",Phật,,Bộ VHTT xếp hạng năm 1993,Lễ Sơn cổ tự,
Đình Bính,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6136,http://ditich.vn\upload\images\ditich\Di-B0108.jpg,"Hải Phòng, Thủy Nguyên, Hoa Động",Đình,,,Xây mới toàn bộ năm 2008,,"20°53'31.7""N 106°39'43.5""E","Hoàng Viết Chiêu, Hoàng Viết Lôi, Phạm Công Tế, Đào Công Trí",+01 Bia thần tích,,,
